"competitorId","competitorName","firstName","lastName","gender","genderId","age","ageNull","height","heightNull","weight","weightNull","bmi","bmiNull","affiliateName","affiliateId","countryOfOriginName","countryOfOriginCode","regionName","regionId","status","statusId","year","overallRank","overallScore","openCompetitor","openRank","openScore","gamesCompetitions","openCompetitions"
1616,"Russ Greene","Russ","Greene","M",1,20,0,178,0,83,0,26.1961873500821,0,"",0,"",0,"",0,"ACT",1,2007,11,232,0,1000,5000,1,0
1685,"Christopher Woods","Christopher","Woods","M",1,29,0,163,0,82,0,30.8630358688697,0,"",0,"",0,"",0,"ACT",1,2008,32,19,0,1000,5000,1,0
1690,"Travis Mayer","Travis","Mayer","M",1,23,0,181,0,93,0,28.3874118616648,0,"CrossFit Passion",7104,"United States",1,"North America",1,"ACT",1,2014,29,483,1,17,566,1,1
1721,"Jeremy Mghenyi","Jeremy","Mghenyi","M",1,28,0,173,0,90,0,30.0711684319556,0,"CrossFit Progression",11016,"Kenya",59,"Africa",5,"CUT",4,2019,87,0,1,1000,5000,0,1
1812,"Miranda Oldroyd","Miranda","Oldroyd","F",2,25,0,166,0,64,0,23.2254318478734,0,"",0,"",0,"",0,"ACT",1,2008,22,27,0,1000,5000,1,1
1819,"Justin Allen","Justin","Allen","M",1,25,0,183,0,95,0,28.3675236644868,0,"",0,"United States",1,"North America",1,"CUT",4,2012,26,397,1,11,463,1,1
1910,"Emily Beers","Emily","Beers","F",2,30,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"CrossFit Vancouver",889,"Canada",5,"North America",1,"CUT",4,2014,37,310,1,495,4470,1,1
2006,"Eric Jones","Eric","Jones","M",1,22,0,173,0,84,0,28.0664238698253,0,"",0,"",0,"",0,"ACT",1,2008,101,30,0,1000,5000,1,1
2088,"Camilla Salomonsson Hellman","Camilla","Salomonsson Hellman","F",2,27,0,165,0,69,0,25.3443526170799,0,"CrossFit Nordic",1009,"Sweden",11,"Europe",4,"ACT",1,2018,24,482,1,51,1313,1,1
2099,"Harriet Roberts","Harriet","Roberts","F",2,28,0,171,0,68,0,23.2550186382135,0,"CrossFit Athletic",2414,"New Zealand",2,"Oceania",7,"ACT",1,2020,28,0,1,59,601,0,1
2386,"Trish Davis","Trish","Davis","F",2,27,0,173,0,70,0,23.3886865581877,0,"",0,"",0,"",0,"ACT",1,2008,28,29,0,1000,5000,1,1
2476,"Luke Schafer","Luke","Schafer","M",1,26,0,173,0,84,0,28.0664238698253,0,"CrossFit Kilo II",17335,"United States",1,"North America",1,"ACT",1,2020,22,0,1,46,592,0,1
